key	file_count	files_sample
premium_5_product_id	1	ViewControllers/PremiumUpgrade/Variants/v5/PremiumConfiguration_v5.swift
premium_5_style	1	ViewControllers/PremiumUpgrade/Variants/v5/PremiumConfiguration_v5.swift
premium_5_text	1	ViewControllers/PremiumUpgrade/Variants/v5/PremiumConfiguration_v5.swift
premium_5_title	1	ViewControllers/PremiumUpgrade/Variants/v5/PremiumConfiguration_v5.swift
premium_6_button_month	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_button_year	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_items	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_line2nd_month	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_line2nd_year	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_name_month	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_name_year	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_offer_max_lines	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_offer_month	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_offer_year	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_price_month	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_price_year	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_subs_display	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_subs_month	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_subs_year	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_subtitle	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
premium_6_title	1	ViewControllers/PremiumUpgrade/Variants/v6/PremiumConfiguration_v6.swift
